env_step,reward_mean,reward_std,mean_loss,mean_entropy,mean_policy_loss,mean_value_loss
2500,6.4,12.8,10.598632107760446,1.439200480779012,-0.00021453967133192955,10.600285847981771
5000,14.0,19.154634,40.015658302465454,1.4525260925292969,-1.207585500573316e-05,40.01712290445963
7500,16.7,16.014368,37.06884828493154,1.4527157545089722,-0.00012085387322594936,37.070421854654946
10000,52.7,59.53705,280.1676628510856,1.4554645617802937,-1.0102300069666134e-05,280.16912841796875
12500,51.7,47.433746,259.053077125689,1.4604240655899048,8.40179151738359e-05,259.05445353190106
15000,48.1,30.374989,173.4645601635178,1.46286674340566,-0.00012788927463525113,173.46615091959634
17500,36.6,21.159868,87.36298715579323,1.470574935277303,-0.000537589850152879,87.36499532063802
20000,31.9,5.351635,53.577503994068444,1.4743136564890544,-0.00034450716857481467,53.579322814941406
22500,31.9,5.739338,50.69762486762678,1.4665805498758953,-0.0004108608457572179,50.699502309163414
25000,33.3,7.0964785,57.684738957652975,1.4488490025202434,0.00010687405814735484,57.68608093261719
27500,28.7,9.042124,46.393993137210295,1.45411213239034,0.00011364139034893601,46.39533360799154
30000,24.8,7.4337068,28.16756515643404,1.4323177735010784,-0.0002212248960355249,28.16921869913737
32500,17.0,6.69328,15.326171468671722,1.454032341639201,-0.00018701160886943255,15.327812512715658
35000,25.5,7.395945,30.295641353547882,1.4941619237263997,-0.00027799255927085653,30.297413508097332
37500,17.9,7.1302176,18.50471155861548,1.4797499577204387,3.947353503706378e-05,18.5061518351237
40000,19.9,10.627323,25.81987418393449,1.4553130467732747,-0.00024948245682754333,25.821578979492188
42500,26.1,3.8131351,28.65522614113676,1.4403376579284668,-2.1575578335190453e-05,28.656688054402668
45000,23.5,14.805405,36.22084023244679,1.4423776070276897,-0.0007169626164869788,36.222999572753906
47500,26.2,12.114454,39.3955800421924,1.4800530672073364,0.00019806524865965494,39.3968620300293
50000,20.4,10.485228,25.494462498114444,1.4970868428548176,-3.19368067340046e-06,25.495962778727215
52500,22.3,9.255268,23.785829335140686,1.492181658744812,-0.00047577518904577215,23.787797292073567
55000,21.7,7.13162,23.44627933728043,1.4759987592697144,-0.00036541682329656783,23.44812075297038
