env_step,reward_mean,reward_std,mean_loss,mean_entropy,mean_policy_loss,mean_value_loss
2500,7.8,9.599999,13.444242207643887,1.3858110109965007,-4.924984854877875e-05,13.451220512390137
5000,44.6,55.67172,248.61960968840867,1.386056621869405,-6.252618663419677e-06,248.62654622395834
7500,24.0,28.577963,76.69149373906355,1.3865784804026287,-1.1377278693676848e-05,76.6984380086263
10000,23.7,30.042635,96.70606488796572,1.3871289889017742,-1.2162518546373255e-05,96.7130126953125
12500,27.3,44.424767,126.28929047953959,1.386828621228536,-2.4767069633687317e-05,126.29624938964844
15000,70.6,54.11691,336.5137923460764,1.3859151601791382,-9.6864700710834e-06,336.52073160807294
17500,11.4,9.876234,16.486330401928473,1.3852688868840535,-1.1584683289396954e-05,16.493268330891926
20000,90.9,85.67812,582.232918595119,1.3851295709609985,-3.5761674926545104e-06,582.2398478190104
22500,49.9,52.093567,216.4340417541874,1.3853049675623577,-1.5811387608385036e-05,216.44098409016928
25000,81.2,37.800266,331.9338862343381,1.3854697545369465,-2.3005763984211097e-05,331.9408365885417
27500,87.0,74.984665,490.7271871894288,1.385584553082784,-5.574631796179119e-06,490.73412068684894
30000,53.4,45.054855,273.7983028756765,1.3856693506240845,-5.594233730477072e-06,273.80523681640625
32500,63.5,36.211876,268.1001962427981,1.3858483235041301,-1.1560002956064372e-05,268.1071370442708
35000,59.6,48.84199,299.1554737522577,1.3861401478449504,-1.0097984680027908e-05,299.16241455078125
37500,74.5,35.19659,334.9028358915821,1.386379361152649,-1.2078324978996116e-05,334.90977986653644
40000,4.5,4.2661457,3.523713033646345,1.3864556550979614,-3.5265430294861844e-05,3.5306805769602456
42500,39.2,46.91865,171.23186380307502,1.3849036693572998,-6.641360081734622e-06,171.2387949625651
45000,41.0,63.894444,248.01294472891217,1.3835604190826416,-1.4584791926175456e-05,248.0198771158854
47500,23.8,28.32243,89.2469308253688,1.382607102394104,-2.4242377696381823e-05,89.25386810302734
50000,34.0,41.78636,152.8023681786532,1.3820270697275798,-2.081789633123776e-06,152.8092803955078
52500,40.6,46.578323,198.99445429475358,1.3818578720092773,-4.620838250701809e-06,199.0013682047526
55000,62.8,27.211393,269.1410601385869,1.3823106686274211,-8.04424648374417e-06,269.1479797363281
57500,116.8,32.133472,678.2230455746563,1.3827828963597615,-6.347179457577568e-07,678.2299601236979
60000,91.8,50.50604,437.6501161439034,1.3833184242248535,-1.072112729261221e-05,437.65704345703125
62500,91.4,55.643864,448.0902755158022,1.383903980255127,-1.3623357003685518e-05,448.0972086588542
65000,45.5,41.537933,196.65667815304673,1.384627143541972,-8.533760231207074e-06,196.66360982259116
67500,49.3,38.27741,210.7759844046086,1.3847291866938274,-1.533025438268017e-05,210.78292338053384
70000,74.0,30.38585,281.9421246711475,1.384694258371989,-7.847511957000583e-06,281.9490559895833
72500,36.7,40.341793,157.27551867067814,1.384856899579366,2.7693786914066245e-06,157.28244018554688
75000,57.2,41.87434,262.0520111842391,1.3848208983739216,-1.4499954557341729e-05,262.05894978841144
77500,100.6,18.00111,537.3108288277872,1.3852994044621785,-1.4043883474812446e-05,537.3177693684896
80000,44.9,36.228996,180.3227271513703,1.3856781323750813,-3.094086970515756e-05,180.3296864827474
82500,96.7,41.478428,509.39014221308753,1.3851486841837566,-6.425261301827116e-06,509.39707438151044
85000,41.3,26.420826,152.38045312277973,1.3845634460449219,-1.4196701696297017e-05,152.38739013671875
87500,77.4,36.490276,363.74839000217617,1.3842004140218098,-9.226962185711804e-06,363.7553202311198
90000,43.9,20.214846,132.42092687776312,1.3839178880055745,-2.5236888111438798e-05,132.42787170410156
92500,54.4,32.502922,191.59856808930635,1.3837935129801433,-6.81597447430941e-05,191.60555521647134
95000,58.2,16.889643,209.55580326154208,1.3831760088602703,-4.6542405568080385e-06,209.5627237955729
97500,85.9,55.581833,429.96180673812825,1.3828486601511638,5.23614410017359e-05,429.9686686197917
100000,82.9,46.71124,370.9854347727572,1.3833284775416057,-1.9190621925938938e-05,370.99237060546875
102500,82.7,58.439373,408.61947525432333,1.383232871691386,-3.27351166996929e-05,408.6264241536458
105000,63.7,11.174077,195.97215345750251,1.3820499181747437,-7.244205212142418e-05,195.97913614908853
107500,87.5,44.222168,413.99597513458383,1.3794926802317302,-6.226976786760652e-06,414.0028788248698
110000,147.1,47.090763,906.2283475431614,1.376967986424764,2.8907339266008116e-06,906.2352294921875
112500,78.5,51.696228,371.4278913076657,1.3745650450388591,-2.997548913204658e-05,371.43479410807294
115000,39.6,13.679913,115.0214010453783,1.3723642826080322,-8.79633624029097e-05,115.02835083007812
117500,37.9,26.824244,119.16401501900206,1.3685842355092366,-1.2522833044315007e-05,119.17087046305339
120000,55.0,34.06024,209.70927791375047,1.3678431113560994,-5.922169878047612e-05,209.71617635091147
122500,48.5,35.20227,154.187046230305,1.3671656052271526,-8.25822515337175e-05,154.19396464029947
125000,70.7,54.571606,365.14214444113895,1.3662060499191284,-6.220782557283162e-05,365.14903767903644
127500,40.4,18.339573,103.16841479111463,1.365260124206543,-3.4075109070682195e-05,103.17527516682942
130000,38.0,24.052027,104.75381375507762,1.3636391560236614,-1.1054412763537394e-05,104.7606430053711
132500,92.5,104.81841,787.021900678364,1.3633122046788533,-9.974328740725014e-06,787.0287272135416
135000,117.5,57.422123,657.9172338168137,1.3653074105580647,-5.2601944492044104e-05,657.9241129557291
137500,201.1,135.53058,2492.5835600473606,1.3662571907043457,-2.207823200232421e-05,2492.5904134114585
140000,90.5,149.26888,1190.250317401563,1.366666595141093,2.996635334377255e-05,1190.2571207682292
