Wall time,Step,Value
1755521242.2233672,5000,40.83333206176758
1755521376.998392,10000,39.54999923706055
1755521519.1207297,15000,44.79999923706055
1755521655.281056,20000,38.79999923706055
1755521799.030759,25000,20.950000762939453
1755521935.148415,30000,15.600000381469727
1755522080.5571804,35000,37.79999923706055
1755522218.2494042,40000,47.349998474121094
1755522364.2320163,45000,50.04999923706055
1755522503.764547,50000,73.0999984741211
1755522649.3016386,55000,75.75
1755522787.1362913,60000,54.5
1755522932.0716808,65000,50.70000076293945
1755523070.3195996,70000,47.29999923706055
1755523217.5692785,75000,39.400001525878906
1755523357.9553785,80000,51.54999923706055
1755523506.8479714,85000,87.9000015258789
1755523645.0617614,90000,36.900001525878906
1755523793.7517111,95000,41.75
1755523934.8958843,100000,53.45000076293945
1755524083.8066638,105000,32.20000076293945
1755524224.2431417,110000,30.700000762939453
1755524371.1469488,115000,35.650001525878906
1755524512.6226938,120000,78.19999694824219
1755524662.242736,125000,36.75
1755524800.2057803,130000,37.04999923706055
1755524950.381091,135000,38.29999923706055
1755525090.8961768,140000,48.900001525878906
1755525240.737538,145000,65.0999984741211
1755525382.9985986,150000,34.95000076293945
1755525533.076273,155000,59.20000076293945
1755525674.7476742,160000,31.299999237060547
1755525825.8413072,165000,58.29999923706055
1755525967.953888,170000,33.5
1755526119.219473,175000,90.69999694824219
1755526260.8162327,180000,85.3499984741211
1755526412.0156286,185000,136.6999969482422
1755526556.380861,190000,119.5
1755526708.6858926,195000,98.44999694824219
1755526847.5693307,200000,70.5
1755526988.7990277,205000,97.0
1755527139.954702,210000,99.94999694824219
1755527286.335833,215000,74.30000305175781
1755527437.8506885,220000,31.600000381469727
1755527584.0659986,225000,71.19999694824219
1755527736.855977,230000,91.1500015258789
1755527878.2540948,235000,90.6500015258789
1755528033.541288,240000,159.4499969482422
1755528182.299872,245000,235.5500030517578
1755528336.8837967,250000,281.04998779296875
1755528486.0742896,255000,168.5
1755528639.2342584,260000,286.25
1755528784.285294,265000,249.5500030517578
1755528935.384202,270000,294.20001220703125
1755529081.3419936,275000,213.85000610351562
1755529235.7683976,280000,306.95001220703125
1755529383.9798844,285000,220.6999969482422
1755529537.8207536,290000,189.25
1755529689.411221,295000,259.0
1755529840.9241126,300000,334.6000061035156
1755529986.4390893,305000,381.3999938964844
1755530140.907219,310000,184.4499969482422
1755530291.71051,315000,257.20001220703125
1755530447.6984982,320000,228.25
1755530598.6882448,325000,223.1999969482422
1755530756.8654966,330000,353.3999938964844
1755530905.290548,335000,391.25
1755531059.9000294,340000,233.4499969482422
1755531206.4716225,345000,317.5
1755531366.767419,350000,399.95001220703125
1755531512.5849707,355000,315.54998779296875
1755531668.8199184,360000,451.95001220703125
1755531817.743119,365000,322.45001220703125
1755531977.13457,370000,326.95001220703125
1755532123.5108876,375000,232.0
1755532281.0020862,380000,409.1499938964844
1755532429.6448097,385000,407.1499938964844
1755532592.1587327,390000,234.5500030517578
1755532739.385181,395000,325.0
1755532900.0628912,400000,235.0
1755533045.0451446,405000,329.6499938964844
1755533192.7837024,410000,281.1000061035156
1755533344.8805368,415000,458.1000061035156
1755533494.54484,420000,278.5
1755533654.5759835,425000,371.75
1755533808.797353,430000,331.8500061035156
1755533966.4204876,435000,328.1499938964844
1755534122.020871,440000,372.5
1755534281.4127483,445000,242.39999389648438
1755534436.816822,450000,370.75
1755534592.0300608,455000,418.3500061035156
1755534740.9732876,460000,242.35000610351562
1755534897.6330156,465000,418.6499938964844
1755535051.2077208,470000,423.29998779296875
1755535210.5270689,475000,328.79998779296875
1755535366.3763466,480000,375.45001220703125
1755535521.8706205,485000,372.95001220703125
1755535672.1684222,490000,376.45001220703125
1755535830.0133514,495000,418.20001220703125
1755535980.2338917,500000,284.25
