env_step,reward_mean,reward_std,mean_loss,mean_entropy,mean_policy_loss,mean_value_loss
2500,101.5,53.79684,0.8237118323644003,1.4443875551223755,-5.859255875299377e-07,0.10151863098144531
5000,63.4,66.30038,0.7843234986066818,1.4418306748072307,2.3659705602104473e-06,0.06340579688549042
7500,52.8,45.002888,0.7724014781415462,1.439204176266988,-4.246803133156618e-06,0.052803621937831245
10000,59.4,32.599693,0.7776964207490286,1.4366097052892048,7.694959434090265e-07,0.059390793244043984
12500,39.9,24.286623,0.7569068036973476,1.434025804201762,2.7112325054664175e-06,0.039891199519236885
15000,67.0,38.457767,0.7827010576923689,1.431429664293925,-2.059698124649382e-07,0.06698644409577052
17500,75.7,88.35927,0.7900508095820745,1.4287160237630208,1.9830903032295546e-06,0.07569081087907155
20000,41.1,37.37566,0.7539984484513601,1.4258301258087158,2.039285490103756e-06,0.04108133912086487
22500,63.8,42.916897,0.775149958829085,1.4227395455042522,2.3899396062176947e-06,0.06377780189116795
25000,41.7,35.063656,0.751417209704717,1.419481913248698,-5.618572053833759e-06,0.04168185591697693
27500,43.4,36.52862,0.7513034231960773,1.4158610900243123,-1.6855200177801066e-06,0.04337456698218981
30000,20.9,22.289907,0.7268362150837978,1.4118996461232503,1.581891339993054e-06,0.020884822433193524
32500,67.1,47.834507,0.7708334177732468,1.4075897534688313,-4.967776940626815e-06,0.06704352796077728
35000,26.0,22.178818,0.7283127500365177,1.4030689398447673,4.5274098085338704e-07,0.026777823145190876
37500,55.7,30.251612,0.7546791012088457,1.3980790376663208,-1.2418393241138878e-05,0.05565200001001358
40000,71.8,81.13297,0.7680286293228468,1.3926321665445964,-2.1105090622697276e-05,0.07173364609479904
42500,76.3,64.169,0.7694990386565527,1.386570930480957,5.969790779640031e-06,0.07620761295159657
45000,23.7,25.714977,0.7136168722063303,1.3798761367797852,1.1868485187527256e-05,0.023666922623912495
47500,48.5,32.69251,0.7345484693845113,1.3722292979558308,-1.9135753971018707e-06,0.048435727755228676
50000,67.5,66.93729,0.7666541536649069,1.3636677662531536,1.2681603775395919e-05,0.08480757474899292
52500,44.3,23.08376,0.721262339502573,1.3541562954584758,-3.8116094157677104e-05,0.04422229900956154
55000,34.5,28.069557,0.7061901489893595,1.34355890750885,-1.7079746050067495e-05,0.0344277818997701
57500,79.9,19.197395,0.7455915237466494,1.331780989964803,-3.4666983992792666e-05,0.07973569879929225
60000,90.7,46.329903,0.7498123819629351,1.3186008532842,-7.100240409840808e-06,0.09051904827356339
62500,46.3,42.939026,0.6981377700964609,1.3038864533106487,5.067121976528218e-06,0.04618947704633077
65000,65.6,30.10548,0.708997001250585,1.287198821703593,-3.815576149139114e-05,0.0654357373714447
67500,61.8,52.253803,0.6957758913437525,1.2683732112248738,-5.2719119125299585e-05,0.061641996105511986
70000,70.6,43.091064,0.6938896725575129,1.247125784556071,-5.689331664663714e-05,0.07038368284702301
72500,47.7,42.30792,0.6590722128748894,1.2230640649795532,-3.770232274528477e-06,0.04754395534594854
75000,64.4,38.43618,0.6623512282967567,1.1962487697601318,5.9009848834297905e-05,0.06416783481836319
77500,49.6,35.212784,0.6327082601686319,1.166480302810669,6.353776521272891e-05,0.049404570211966835
80000,82.8,42.060196,0.6493328188856443,1.133659799893697,3.0097536888244274e-05,0.08247281859318416
