env_step,reward_mean,reward_std,mean_loss,mean_entropy,mean_policy_loss,mean_value_loss
2500,19.6,30.018993,0.02652653803428014,1.4156750043233235,-0.00014948020010111898,0.01959764336546262
5000,17.7,21.864584,0.024594586187352736,1.4051339626312256,-0.00011189497206369008,0.01768081138531367
7500,11.5,23.0,0.018216866999864578,1.396585464477539,-0.00024469625398815253,0.011478636103371779
10000,46.1,40.83552,0.05269812202701966,1.3909578720728557,-0.00022944636670866694,0.045972779393196106
12500,73.2,62.152718,0.07960019540041685,1.3821278810501099,-0.0002780003649185403,0.07296755661567052
15000,59.2,48.955696,0.06540743680670857,1.3709630966186523,-0.000376510208519439,0.058929131676753364
17500,54.7,35.436703,0.06047319248318672,1.3476774295171101,-0.0006508256423594835,0.0543856310347716
20000,32.9,30.118765,0.03874393133446574,1.3174737294514973,-0.0004751871247776762,0.03263174990812937
22500,31.9,6.8804073,0.03701604266340534,1.2778663237889607,-0.0009591736049697394,0.03158588459094366
25000,27.1,11.67219,0.032060491076360144,1.2215739885965984,-0.0008017836754209048,0.02675440472861131
27500,16.1,5.77408,0.020645806333050132,1.1683753728866577,-0.0010106219304105342,0.01581455146272977
30000,17.8,3.2186954,0.021563081303611398,1.1060184240341187,-0.0013814929125833448,0.017414482310414314
32500,15.8,3.7762415,0.019469482203324635,1.128567894299825,-0.001554302249166047,0.015380945056676865
35000,16.0,2.48998,0.018616202054545283,1.1935551166534424,-0.002864492098118158,0.015512918742994467
37500,18.2,2.7856777,0.02045573767585059,1.3162424166997273,-0.0037110175109158483,0.01758554329474767
40000,16.4,2.3958297,0.017929501831531525,1.3709230820337932,-0.004601798028995592,0.01567668467760086
42500,18.2,2.5806975,0.017968295918156702,1.4994797706604004,-0.006830431312322638,0.017301328480243683
45000,22.5,3.4785054,0.018600609463949997,1.6178334951400757,-0.010554066239297407,0.021065508325894673
47500,14.2,7.2429276,0.010203960972527662,1.8381040493647258,-0.012005680440366243,0.01301912156244119
50000,16.8,3.722902,0.0106935640797019,2.10619322458903,-0.015195895919203783,0.015358494284252325
52500,22.3,6.4233947,0.01019099292655786,2.1618809700012207,-0.020977695515751904,0.020359283934036892
55000,16.0,8.803409,0.01285194574544827,2.5751566886901855,-0.01416193413337071,0.014138096633056799
57500,26.1,21.608795,0.01686254423111677,2.8149545192718506,-0.019902910661697398,0.02269068236152331
60000,49.5,41.602886,0.023414454112450283,2.9760905106862388,-0.03335718421339943,0.041891186187664665
62500,67.4,20.972363,0.025517467098931473,3.1447232564290366,-0.045541375041008005,0.05533522615830103
65000,41.9,27.90233,0.03437454936405023,3.829241911570231,-0.017407811202108842,0.032636151959498726
