env_step,reward_mean,reward_std,mean_loss,mean_entropy,mean_policy_loss,mean_value_loss
2500,41.5,50.647804,214.61656362672025,1.4493742386500041,-6.035191706980451e-05,214.62387084960938
5000,12.5,15.462859,19.748299540951848,1.4642367760340373,-0.00016871420353018843,19.755789438883465
7500,82.1,65.03953,489.05359882333624,1.4646502335866292,8.98840820795499e-06,489.0609130859375
10000,32.3,26.162186,89.70797615824267,1.4602202574412029,-0.0001921008419791074,89.71546936035156
12500,66.8,39.924427,322.0621132181647,1.4539481004079182,-4.453196429624976e-05,322.0694274902344
15000,50.1,35.598316,180.31309813059246,1.46675972143809,-0.00040445595644437543,180.32083638509116
17500,18.9,20.633467,45.90119091824939,1.5066669782002766,-9.685318263545166e-05,45.90882110595703
20000,9.5,11.549891,13.015611569707593,1.5171360572179158,-0.000842018503136921,13.024039268493652
22500,23.6,8.021221,34.839992665064834,1.4663280248641968,0.00015252167595702915,34.847171783447266
25000,19.6,5.8940644,16.908596050149452,1.4082459211349487,5.6674475968539655e-06,16.915631612141926
27500,14.9,3.992493,9.128838520497084,1.330264965693156,-0.0007889429210374832,9.136278788248697
30000,16.1,2.596151,10.108358255742738,1.2589852412541707,4.53709612019774e-05,10.114607810974121
32500,17.5,11.1624365,17.279790388109785,1.2650431791941326,-0.000994406867027268,17.28711001078288
35000,20.8,2.8740215,18.758805681175243,1.2737858295440674,0.00047785309748723154,18.7646967569987
37500,16.2,5.025933,12.058363285536567,1.2793934345245361,0.0002724774595040576,12.06448777516683
40000,12.1,6.2482,8.575159570202231,1.29275910059611,-0.00010906627728246576,8.581732432047525
42500,16.9,6.3749514,13.999047769388804,1.3118678728739421,-0.00023732546763103693,14.005844434102377
45000,19.3,10.916043,22.624566584980737,1.3110543886820476,5.712386580795462e-05,22.631064732869465
47500,17.6,4.9335585,13.176580638624728,1.3133318424224854,-0.0006508564946863989,13.18379815419515
50000,14.9,2.310844,9.016558156193545,1.2994445164998372,-0.0011940160987278976,9.024249394734701
52500,15.5,5.5946403,9.955618142616004,1.280025800069173,4.794241717901807e-05,9.961970329284668
55000,17.6,3.3075671,12.749509694675604,1.297646125157674,-9.573586629318953e-05,12.756093660990397
57500,15.2,3.1717503,9.313620037709674,1.3277098337809246,-0.00028215918202575036,9.32054074605306
60000,16.4,3.9166312,10.18618208433812,1.376136342684428,-0.0002390706403801642,10.193301836649576
62500,13.5,1.5165751,7.179084544070065,1.411797324816386,-5.057140932951398e-05,7.186194101969401
65000,14.3,2.3366642,7.537304270857324,1.386638840039571,-0.00012746452107094872,7.544364929199219
67500,13.9,2.4979992,7.044275917888929,1.3518414497375488,-0.00026381108096495964,7.051298936208089
70000,11.3,0.7483315,4.034260858005534,1.3295202652613323,-0.00016343250777965204,4.041071891784668
72500,11.0,1.67332,4.172279755584896,1.3306420246760051,0.00010409033675677175,4.178828875223796
75000,12.0,2.302173,5.227327239544441,1.3314859867095947,-0.00022566294045371174,5.2342103322347
77500,12.3,4.1785164,5.53195879732569,1.3479997714360554,-8.602574789355148e-05,5.538784821828206
80000,14.0,3.082207,7.500890126917511,1.3303626775741577,-0.0003424032496598765,7.507884343465169
82500,12.8,3.1717503,5.324711688483755,1.3153778711954753,-0.00032178412290913744,5.331610361735026
85000,9.4,4.651881,3.7728039782183864,1.3279861609141033,0.0007565112233782756,3.7786873976389566
87500,12.5,2.1908903,5.258641327110429,1.342042605082194,-0.00036072129729824987,5.265712261199951
90000,13.4,1.7146429,6.707072657998651,1.3711037635803223,0.00013680632763228098,6.713791370391846
92500,13.4,2.7820857,6.903673713405927,1.377382516860962,-0.00016099423946188315,6.910721619923909
95000,14.2,1.077033,7.874736824228118,1.3774296045303345,-0.00011739260047131476,7.881741364796956
97500,15.0,3.1464264,8.618456550097713,1.3514246145884197,6.426394783372776e-05,8.625149408976236
100000,11.3,3.0099833,4.741774543809394,1.3545735677083333,7.726399173405933e-05,4.748470147450765
102500,13.2,2.908608,6.020823045323293,1.369157115618388,2.769336597992685e-05,6.027641137440999
105000,14.7,1.6613247,7.66336749571686,1.3784398635228474,6.52280192308119e-05,7.6701944669087725
107500,13.6,1.7720045,6.70578251623859,1.3860091765721638,-0.00037372529256004167,6.713086287180583
110000,14.3,2.6191602,7.089099656014393,1.3930397828420003,3.4778561311140287e-05,7.096030076344808
