env_step,reward_mean,reward_std,mean_loss,mean_entropy,mean_policy_loss,mean_value_loss
2500,47.9,31.402864,193.0174447791651,1.4278514385223389,-0.00021149589763957977,193.02479553222656
5000,53.5,45.91514,232.6541079573799,1.4366511702537537,2.1071517429582798e-05,232.66127014160156
7500,52.9,40.476414,182.63183564064093,1.439997136592865,-4.823611183679688e-05,182.6390838623047
10000,40.9,36.112877,158.1097956050653,1.4503335356712341,-0.000170744949579138,158.11721801757812
12500,28.0,34.981422,110.18819949007593,1.4661468863487244,-7.219243478040482e-05,110.19560241699219
15000,40.1,43.156,138.1769791082479,1.4828559160232544,-0.00014640733932580474,138.18453979492188
17500,51.6,28.30795,182.91504723997787,1.505258560180664,-0.00017121817446330567,182.92274475097656
20000,47.5,28.250664,155.42358836880885,1.5343560576438904,0.0001383225498718943,155.43112182617188
22500,74.3,41.87792,330.68922871840186,1.5616105794906616,-0.00012204232197277065,330.69715881347656
25000,30.8,23.470407,76.93562997598201,1.5898520946502686,-2.4279326348519703e-05,76.943603515625
27500,36.2,7.593418,82.37314741360024,1.6111076474189758,8.036241354414386e-05,82.38112258911133
30000,44.1,17.07747,121.18245927710086,1.617715299129486,-1.916259581058455e-05,121.19056701660156
32500,27.1,11.521285,44.33056955970824,1.618092954158783,-0.0005924481991677055,44.33925247192383
35000,18.5,6.1725197,17.385224359109998,1.638587236404419,-0.00015646579314498865,17.393573760986328
37500,16.8,2.4819348,11.753827507607639,1.7023177742958069,4.578351930906166e-07,11.762338638305664
40000,16.4,3.2924156,10.272501287050545,1.7122382521629333,-0.00023758983609731277,10.281300067901611
42500,13.5,2.0736442,7.019417691510171,1.6746373176574707,-0.00029435391947629785,7.028085231781006
45000,11.0,5.138093,5.839055033400655,1.631888747215271,-0.0001199080977356548,5.847334384918213
47500,12.6,1.8814888,6.343303432222456,1.5940696597099304,-9.011636108624543e-05,6.351363897323608
50000,12.0,1.3416407,5.664622979704291,1.5634171962738037,0.00021578226212881635,5.672224283218384
52500,12.5,1.1401755,5.423287476412952,1.5450324416160583,2.1704100997776976e-05,5.430990934371948
55000,12.5,1.7029387,5.5852087929379195,1.530480980873108,-3.621764203431965e-05,5.592897415161133
57500,13.1,1.2806249,5.865847172215581,1.5193800330162048,-0.0004770839176604369,5.873921155929565
60000,15.2,2.0639768,8.285253148758784,1.5109758973121643,5.1947498164395256e-05,8.292756080627441
62500,15.3,2.1587033,8.389420043677092,1.5192879438400269,-0.0003433648061008654,8.397359848022461
65000,14.0,5.848077,8.635889939963818,1.522742748260498,-1.3363838524682592e-05,8.643517017364502
67500,15.2,2.1118712,8.749468986876309,1.537907600402832,-0.0003902843959164848,8.757548809051514
70000,12.0,4.7222877,6.1083246420603245,1.5556883215904236,0.00013414067951966757,6.115968942642212
72500,14.1,1.3190906,7.007859132718295,1.569375216960907,-0.00020533212982121185,7.015911340713501
75000,13.2,1.43527,6.130531806964427,1.5843844413757324,-0.00017236951028465342,6.1386260986328125
77500,13.1,1.6552947,5.782061323290691,1.6076173186302185,0.00014069433487029492,5.789958715438843
80000,13.5,0.83666,5.954855088610202,1.6264033317565918,-0.00025375699726870593,5.9632408618927
82500,14.0,2.0,6.852536114864051,1.656787931919098,5.650486859920534e-05,6.8607635498046875
85000,16.0,3.435113,10.235854721162468,1.6680838465690613,5.737609883649242e-05,10.24413776397705
87500,14.5,1.7888544,7.484403511974961,1.682134211063385,-0.00016248276708652476,7.492976665496826
90000,14.8,2.8390138,8.117489229887724,1.7069808840751648,-0.00010072498300583987,8.126124858856201
92500,13.0,1.8439089,6.308112232014537,1.7518318891525269,-5.794887441989971e-05,6.316929340362549
95000,10.9,1.2409674,4.313306650612503,1.7916315197944641,-0.000274759765109156,4.322539567947388
97500,12.1,1.1575836,4.965280556119978,1.8225411176681519,-0.00010381841480278098,4.974497079849243
100000,13.0,1.3038405,5.704596505034715,1.8438806533813477,-3.8643597823129205e-05,5.713854551315308
